number,name,votes,electronic,abroad,mandate,district,party
581,Marju Lauristin,1172,666,8,#N/A,10,Sotsiaaldemokraatlik Erakond
1072,Sven Sester,1154,587,4,Kompensatsioonimandaat,2,Isamaa Erakond
930,Andrei Novikov,1144,169,1,#N/A,1,Eesti Keskerakond
344,Jüri Jaanson,1139,566,7,Kompensatsioonimandaat,12,Eesti Reformierakond
1088,Mart Nutt,1135,597,5,#N/A,3,Isamaa Erakond
926,Andrei Korobeinik,1133,352,3,#N/A,1,Eesti Keskerakond
729,Jaen Teär,1124,377,6,#N/A,5,Eesti Konservatiivne Rahvaerakond
938,Mihhail Korb,1114,193,0,Ringkonnamandaat,2,Eesti Keskerakond
295,Eerik-Niiles Kross,1110,601,1,Ringkonnamandaat,7,Eesti Reformierakond
327,Hele Everaus,1110,622,4,#N/A,10,Eesti Reformierakond
334,Maido Ruusmann,1093,447,1,#N/A,11,Eesti Reformierakond
1158,Mihhail Lotman,1086,549,8,#N/A,10,Isamaa Erakond
764,Kert Kingo,1082,364,4,Kompensatsioonimandaat,9,Eesti Konservatiivne Rahvaerakond
323,Margit Sutrop,1082,702,1,#N/A,10,Eesti Reformierakond
592,Indrek Tarand,1061,499,3,#N/A,12,Sotsiaaldemokraatlik Erakond
799,Liina Normet,1048,672,1,#N/A,1,Erakond Eesti 200
782,Tiit Kala,1033,301,3,#N/A,11,Eesti Konservatiivne Rahvaerakond
268,Mart Võrklaev,1025,643,1,#N/A,4,Eesti Reformierakond
980,Mihkel Undrest,1024,296,3,#N/A,5,Eesti Keskerakond
1004,Peeter Rahnel,1019,267,1,#N/A,8,Eesti Keskerakond
942,Maria Jufereva-Skuratovski,1011,189,5,Ringkonnamandaat,2,Eesti Keskerakond
905,Igor Taro,1007,507,2,#N/A,11,Erakond Eesti 200
305,Yoko Alender,997,600,5,Ringkonnamandaat,8,Eesti Reformierakond
557,Lauri Läänemets,994,488,1,#N/A,8,Sotsiaaldemokraatlik Erakond
784,Indrek Käo,991,317,3,#N/A,11,Eesti Konservatiivne Rahvaerakond
945,Vladimir Svet,980,287,5,Ringkonnamandaat,2,Eesti Keskerakond
744,Riho Breivel,979,350,9,Kompensatsioonimandaat,7,Eesti Konservatiivne Rahvaerakond
1001,Martin Repinski,976,156,2,Ringkonnamandaat,7,Eesti Keskerakond
1100,Heiki Hepner,962,449,3,#N/A,4,Isamaa Erakond
255,Vilja Toomast,953,557,2,Kompensatsioonimandaat,3,Eesti Reformierakond
968,Vladimir Arhipov,944,173,3,Ringkonnamandaat,4,Eesti Keskerakond
997,Dmitri Dmitrijev,943,146,3,#N/A,7,Eesti Keskerakond
325,Urmas Siigur,940,611,1,#N/A,10,Eesti Reformierakond
242,Ivi Eenmaa,932,604,4,#N/A,2,Eesti Reformierakond
992,Toomas Väinaste,930,259,0,#N/A,6,Eesti Keskerakond
351,Züleyxa Izmailova,923,547,6,#N/A,1,Erakond Eestimaa Rohelised
531,Reili Rand,918,515,1,#N/A,5,Sotsiaaldemokraatlik Erakond
988,Triin Varek,912,265,2,#N/A,6,Eesti Keskerakond
1074,Riina Solman,906,468,1,#N/A,2,Isamaa Erakond
853,Koit Kelder,903,496,1,#N/A,5,Erakond Eesti 200
282,Aivar Viidik,893,583,1,#N/A,5,Eesti Reformierakond
297,Aivar Surva,880,438,1,#N/A,7,Eesti Reformierakond
1157,Lauri Vahtre,876,430,5,#N/A,10,Isamaa Erakond
715,Kai Rimmel,873,383,8,#N/A,4,Eesti Konservatiivne Rahvaerakond
915,Kadri Tali,872,458,6,#N/A,12,Erakond Eesti 200
1021,Jaan Toots,871,153,0,#N/A,10,Eesti Keskerakond
229,Signe Riisalo,837,685,2,#N/A,1,Eesti Reformierakond
1061,Mart Luik,829,444,3,#N/A,1,Isamaa Erakond
283,Jaanus Ratas,824,392,2,#N/A,5,Eesti Reformierakond
622,Artur Talvik,822,435,2,#N/A,4,Elurikkuse Erakond
955,Kerstin-Oudekki Loone,820,163,2,#N/A,3,Eesti Keskerakond
738,Aarne Mäe,818,325,7,#N/A,6,Eesti Konservatiivne Rahvaerakond
786,Ants Taul,814,316,11,#N/A,11,Eesti Konservatiivne Rahvaerakond
530,Madis Kallas,812,419,2,#N/A,5,Sotsiaaldemokraatlik Erakond
574,Gea Kangilaski,802,556,10,#N/A,10,Sotsiaaldemokraatlik Erakond
954,Tiit Terik,799,203,0,#N/A,3,Eesti Keskerakond
995,Valeri Korb,798,126,0,#N/A,7,Eesti Keskerakond
328,Raimond Tamm,792,554,1,#N/A,10,Eesti Reformierakond
1013,Jaan Õunapuu,791,259,2,#N/A,9,Eesti Keskerakond
591,Anti Allas,789,294,2,#N/A,11,Sotsiaaldemokraatlik Erakond
787,Kalmar Luisk,786,227,5,#N/A,11,Eesti Konservatiivne Rahvaerakond
